 000000 ,1      ,0
 000000 ,2      ,0
 000000 ,3      ,0
 000000 ,4      ,0
 000000 ,5      ,0
 000000 ,6      ,0
 000000 ,2       ,0
 000000 ,1       ,0
 000754 ,5      ,1
 000954 ,5      ,0
 002058 ,4      ,1
 002258 ,4      ,0
 003265 ,3      ,1
 003465 ,3      ,0
 004551 ,2      ,1
 004751 ,2      ,0
 005863 ,1      ,1
 006063 ,1      ,0
 006523 ,6      ,1
 006523 ,5      ,1
 006723 ,5      ,0
 007273 ,4      ,1
 007473 ,4      ,0
 008318 ,3      ,1
 008518 ,3      ,0
 009572 ,2      ,1
 009772 ,2      ,0
 010981 ,1      ,1
 011181 ,1      ,0
 011452 ,6      ,0
 011452 ,5      ,1
 011652 ,5      ,0
 012288 ,4      ,1
 012488 ,4      ,0
 013478 ,3      ,1
 013678 ,3      ,0
 014847 ,2      ,1
 015047 ,2      ,0
 016059 ,1      ,1
 016259 ,1      ,0
 016589 ,6      ,1
 016589 ,5      ,1
 016789 ,5      ,0
 017309 ,4      ,1
 017509 ,4      ,0
 018586 ,3      ,1
 018786 ,3      ,0
 019171 ,2      ,1
 019371 ,2      ,0
 019919 ,1      ,1
 020119 ,1      ,0
 020281 ,3      ,1
 020584 ,4      ,1
 020884 ,5      ,1
 020890 ,3      ,0
 020920 ,4      ,0
 020990 ,5      ,0
 020990 ,3      ,1
 021190 ,2      ,1
 021390 ,1      ,1
 021500 ,6      ,0
 021500 ,6      ,1
 021500 ,3      ,0
 021560 ,2      ,0
 021600 ,1      ,0
 022070 ,6      ,0
 022443 ,6      ,0
 022810 ,6      ,1
 023180 ,6      ,1
 023553 ,6      ,0
 023920 ,6      ,0
 024300 ,6      ,0
 024660 ,6      ,1
 025030 ,6      ,1
 025400 ,6      ,1
 025770 ,6      ,0
 026140 ,6      ,1
 026550 ,6      ,0
 026550 ,6      ,0
 026627 ,5      ,1
 026827 ,5      ,0
 027303 ,4      ,1
 027503 ,4      ,0
 027900 ,3      ,1
 028100 ,3      ,0
 028675 ,2      ,1
 028875 ,2      ,0
 029765 ,1      ,1
 029965 ,1      ,0
 030256 ,3      ,1
 030500 ,4      ,1
 030767 ,5      ,1
 030820 ,3      ,0
 030820 ,4      ,0
 030820 ,5      ,0
 030920 ,3      ,1
 031175 ,2      ,1
 031372 ,1      ,1
 031500 ,3      ,0
 031500 ,2      ,0
 031500 ,1      ,0
 031500 ,1       ,1
 031500 ,6      ,1
 034500 ,3      ,1
 034657 ,4      ,1
 034807 ,5      ,1
 034850 ,3      ,0
 034850 ,4      ,0
 034850 ,5      ,0
 034900 ,3      ,1
 035025 ,2      ,1
 035150 ,1      ,1
 035200 ,1      ,0
 035200 ,2      ,0
 035200 ,3      ,0
 035250 ,1      ,1
 035250 ,5      ,1
 035450 ,2      ,1
 035450 ,4      ,1
 035690 ,3      ,1
 035690 ,1       ,0
 035690 ,6      ,1
 035690 ,6      ,0
 035720 ,1      ,0
 035720 ,2      ,0
 035720 ,3      ,0
 035720 ,4      ,0
 035720 ,5      ,0
 035750 ,3      ,1
 035875 ,4      ,1
 036000 ,5      ,1
 036050 ,3      ,0
 036050 ,4      ,0
 036050 ,5      ,0
 036100 ,3      ,1
 036225 ,2      ,1
 036350 ,1      ,1
 036400 ,1      ,0
 036400 ,2      ,0
 036400 ,3      ,0
 036450 ,1      ,1
 036450 ,5      ,1
 036675 ,2      ,1
 036675 ,4      ,1
 036915 ,3      ,1
 036950 ,6      ,0
 036950 ,2       ,1
 036950 ,6      ,0
 036970 ,1      ,0
 036970 ,2      ,0
 036970 ,3      ,0
 036970 ,4      ,0
 036970 ,5      ,0
 037020 ,3      ,1
 037100 ,4      ,1
 037200 ,5      ,1
 037250 ,3      ,0
 037250 ,4      ,0
 037250 ,5      ,0
 037300 ,3      ,1
 037425 ,2      ,1
 037550 ,1      ,1
 037600 ,1      ,0
 037600 ,2      ,0
 037600 ,3      ,0
 037650 ,1      ,1
 037650 ,5      ,1
 037875 ,2      ,1
 037875 ,4      ,1
 038100 ,3      ,1
 038150 ,6      ,1
 039344 ,2      ,0
 039444 ,3      ,0
 039500 ,6      ,0
 039554 ,2       ,0
 039654 ,1      ,0
 039660 ,6      ,0
 039800 ,4      ,0
 039950 ,5      ,0
 039950 ,6      ,1
 040500 ,6      ,0
 041300 ,6      ,0
 042000 ,6      ,1
 042500 ,6      ,1
 043100 ,6      ,1
 043200 ,6      ,1
 043300 ,6      ,1
 043400 ,6      ,1
 043500 ,6      ,0
 043600 ,6      ,1
 043700 ,6      ,1
 043825 ,6      ,1
 043950 ,6      ,1
 044075 ,6      ,1
 044200 ,6      ,1
 044300 ,6      ,0
 044300 ,2       ,1
 045000 ,3      ,1
 045650 ,2      ,1
 045650 ,3      ,0
 046330 ,2      ,0
 046330 ,4      ,1
 046840 ,4      ,0
 046840 ,1      ,1
 047475 ,1      ,0
 047525 ,2       ,0
 047525 ,6      ,0
 047600 ,6      ,1
 047675 ,6      ,0
 047750 ,6      ,0
 047825 ,6      ,1
 048100 ,5      ,1
 048150 ,4      ,1
 048150 ,5      ,0
 048200 ,3      ,1
 048200 ,4      ,0
 048250 ,2      ,1
 048250 ,3      ,0
 048300 ,1      ,1
 048300 ,2      ,0
 048375 ,2      ,1
 048375 ,1      ,0
 048450 ,3      ,1
 048450 ,2      ,0
 048525 ,4      ,1
 048525 ,3      ,0
 048600 ,5      ,1
 048600 ,4      ,0
 048630 ,1       ,1
 048630 ,5      ,0
 048880 ,6      ,1
 049193 ,2       ,1
 049420 ,6      ,1
 049520 ,6      ,1
 049620 ,6      ,0
 049720 ,6      ,0
 049820 ,6      ,0
 049900 ,6      ,1
 050000 ,6      ,1
 050100 ,6      ,1
 050200 ,6      ,1
 050300 ,6      ,0
 050450 ,6      ,0
 050450 ,2       ,0
 050550 ,6      ,0
 050650 ,6      ,0
 050750 ,6      ,1
 050850 ,6      ,0
 050925 ,6      ,1
 051000 ,6      ,0
 051000 ,1       ,0
 051100 ,6      ,1
 051200 ,6      ,0
 051300 ,6      ,1
 051400 ,6      ,0
 051500 ,6      ,0
 051600 ,6      ,0
 051700 ,6      ,0
 051800 ,6      ,1
 051900 ,6      ,1
 052000 ,6      ,0
 052100 ,6      ,1
 052760 ,2      ,1
 052760 ,4      ,1
 053100 ,1      ,1
 053100 ,3      ,1
 053100 ,5      ,1
 053100 ,2      ,0
 053100 ,4      ,0
 053500 ,6      ,1
 053500 ,1      ,0
 053500 ,3      ,0
 053500 ,5      ,0
 053500 ,6      ,1
 053500 ,6      ,0
 053900 ,2      ,1
 053900 ,4      ,1
 054250 ,1      ,1
 054250 ,3      ,1
 054250 ,5      ,1
 054250 ,2      ,0
 054250 ,4      ,0
 054500 ,2       ,1
 054500 ,1      ,0
 054500 ,3      ,0
 054500 ,5      ,0
 054500 ,6      ,1
 055178 ,2       ,0
 055178 ,2      ,1
 055178 ,4      ,1
 055578 ,1      ,1
 055578 ,3      ,1
 055578 ,5      ,1
 055578 ,2      ,0
 055578 ,4      ,0
 055600 ,1       ,1
 055600 ,1      ,0
 055600 ,3      ,0
 055600 ,5      ,0
 055600 ,6      ,0
 057950 ,1      ,1
 058100 ,2      ,1
 058100 ,1      ,0
 058200 ,3      ,1
 058200 ,2      ,0
 058300 ,4      ,1
 058300 ,3      ,0
 058400 ,5      ,1
 058400 ,4      ,0
 058500 ,4      ,1
 058500 ,5      ,0
 058600 ,3      ,1
 058600 ,4      ,0
 058700 ,2      ,1
 058700 ,3      ,0
 058850 ,1      ,1
 058850 ,2      ,0
 058900 ,2       ,1
 058900 ,1      ,0
 059860 ,2       ,0
 059860 ,1       ,0
 059860 ,6      ,1
 059860 ,6      ,0
 059960 ,6      ,1
 060060 ,6      ,0
 060160 ,6      ,0
 060260 ,6      ,0
 061054 ,6      ,0
 061054 ,2       ,1
 061054 ,6      ,0
 061154 ,6      ,1
 061254 ,6      ,1
 061354 ,6      ,1
 061454 ,6      ,0
 062300 ,2       ,0
 062300 ,1      ,1
 062300 ,2      ,1
 062300 ,3      ,1
 062300 ,4      ,1
 062300 ,5      ,1
 062300 ,6      ,1
 062400 ,6      ,1
 062500 ,6      ,1
 062600 ,6      ,0
 062700 ,6      ,0
 063520 ,3      ,0
 064930 ,5      ,0
 065723 ,2      ,0
 066532 ,1      ,0
 067281 ,4      ,0
 068076 ,6      ,0
